title,provider,category,difficulty,cost,duration_hours,language,source,fetched_at
Eve Building Restful Mongodb Backed Apis Course,talkpython,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808712
Getting Started With Django Course,talkpython,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808716
Rock Solid Python With Type Hints Course,talkpython,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808719
Intro To Python,mrspecht,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808723
Django Vuejs,codingforentrepreneurs,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808726
Dev000,Trent-Fellbootman,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808730
Introd Pyspark,pedropark99,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808733
Lammpstutorials Ebook,lammpstutorials,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808736
Learningpythonwithgames,PythonBiellaGroup,Programming,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808739
Ai Engineering From Scratch,Rubonal4649,Data Science,Intermediate,0.0,0.0,English,GitHub-API,2026-05-14T21:27:31.808743
Free TutorialsEnjoy our free tutorials like millions of other internet users since 1999,W3Schools,Other,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234051
HTML Tutorial,W3Schools,Web Development,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234356
CSS Tutorial,W3Schools,Web Development,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234364
JavaScript Tutorial,W3Schools,Web Development,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234368
How To Tutorial,W3Schools,Other,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234376
SQL Tutorial,W3Schools,Other,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234381
Python Tutorial,W3Schools,Programming,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234385
W3.CSS Tutorial,W3Schools,Programming,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234389
Bootstrap Tutorial,W3Schools,Other,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234395
PHP Tutorial,W3Schools,Other,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234400
Java Tutorial,W3Schools,Programming,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234403
C++ Tutorial,W3Schools,Programming,Beginner,0.0,10.0,English,W3Schools-Scraper,2026-05-14T21:27:32.234407
Secondary navigation,Yale University,Other,Intermediate,0.0,25.0,English,YaleOCW-Scraper,2026-05-14T21:27:32.647463
Main navigation,Yale University,Other,Intermediate,0.0,25.0,English,YaleOCW-Scraper,2026-05-14T21:27:32.647499
Breadcrumb,Yale University,Other,Intermediate,0.0,25.0,English,YaleOCW-Scraper,2026-05-14T21:27:32.647526
Jobs Tutorial,TutorialsPoint,Other,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999588
PythonProgramming#1 Tutorial,TutorialsPoint,Programming,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999609
JavaProgramming#2 Tutorial,TutorialsPoint,Programming,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999616
JavaScriptWeb Dev#3 Tutorial,TutorialsPoint,Programming,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999623
C++Programming#4 Tutorial,TutorialsPoint,Programming,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999628
SQLDatabases#5 Tutorial,TutorialsPoint,Other,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999640
ReactJSWeb Dev#6 Tutorial,TutorialsPoint,Web Development,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999647
DSACS#7 Tutorial,TutorialsPoint,Programming,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999653
Machine LearningAI#8 Tutorial,TutorialsPoint,Data Science,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999659
DockerDevOps#9 Tutorial,TutorialsPoint,Other,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999666
Spring BootJava#10 Tutorial,TutorialsPoint,Programming,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999672
HTMLWeb Dev#11 Tutorial,TutorialsPoint,Web Development,Beginner,0.0,12.0,English,TutorialsPoint-Scraper,2026-05-14T21:27:32.999678
